num	title	doi	pdf	kind	score	repo	url
150	Rosetta: Enabling Robust TLS Encrypted Traffic Classification in Diverse Network Environments with TCP-Aware Traffic Augmentation	10.1145/3603165.3607437	paper\10.1145_3603165.3607437.pdf	repo	1.0	Rosetta	https://github.com/sunskyXX/Rosetta
154	Yet Another Traffic Classifier: A Masked Autoencoder Based Traffic Transformer with Multi-Level Flow Representation	10.1609/aaai.v37i4.25674	paper\10.1609_aaai.v37i4.25674.pdf	repo	0.0	YaTC	https://github.com/NSSL-SJTU/YaTC
156	A Discrepancy Aware Framework for Robust Anomaly Detection	10.1109/tii.2023.3318302	paper\10.1109_TII.2023.3318302.pdf	repo	0.0	DAF	https://github.com/caiyuxuan1120/DAF
164	A Survey on Time-Series Pre-Trained Models	10.1109/tkde.2024.3475809	paper\10.1109_TKDE.2024.3475809.pdf	repo	0.25	time-seriesptms	https://github.com/qianlima-lab/time-seriesptms
164	A Survey on Time-Series Pre-Trained Models	10.1109/tkde.2024.3475809	paper\10.1109_TKDE.2024.3475809.pdf	repo	0.4	time-series-ptms	https://github.com/qianlima-lab/time-series-ptms
182	AutoML4ETC: Automated Neural Architecture Search for Real-World Encrypted Traffic Classification	10.1109/tnsm.2023.3324936	paper\10.1109_TNSM.2023.3324936.pdf	repo	1.0	AutoML4ETC	https://github.com/OrangeUW/AutoML4ETC
196	Contrasting Estimation of Pattern Prototypes for Anomaly Detection in Urban Crowd Flow	10.1109/tits.2024.3355143	paper\10.1109_TITS.2024.3355143.pdf	repo	0.0	ProtoDetect	https://github.com/yupwang/ProtoDetect
199	Correlation-Aware Spatial–Temporal Graph Learning for Multivariate Time-Series Anomaly Detection	10.1109/tnnls.2023.3325667	paper\10.1109_TNNLS.2023.3325667.pdf	repo	0.0	CST-GL	https://github.com/huankoh/CST-GL
200	Counterfactual Data Augmentation With Denoising Diffusion for Graph Anomaly Detection	10.1109/tcss.2024.3403503	paper\10.1109_TCSS.2024.3403503.pdf	repo	0.0	CAGAD	https://github.com/ChunjingXiao/CAGAD
203	Curved Geometric Networks for Visual Anomaly Recognition	10.1109/tnnls.2023.3309846	paper\10.1109_TNNLS.2023.3309846.pdf	repo	0.0	GiO-GiT	https://github.com/JHome1/GiO-GiT
206	Detecting Cloud Anomaly via Broad Network-Based Contrastive Autoencoder	10.1109/tnsm.2024.3353772	paper\10.1109_tnsm.2024.3353772.pdf	repo	0.0	BroadCAE	https://github.com/zhongguoxiang/BroadCAE
213	Encoder-Decoder Contrast for Unsupervised Anomaly Detection in Medical Images	10.1109/tmi.2023.3327720	paper\10.1109_TMI.2023.3327720.pdf	repo	0.0	EDC	https://github.com/guojiajeremy/EDC
236	Graph Autoencoder Anomaly Detection for E-Commerce Application by Contextual Integrating Contrast With Reconstruction and Complementarity	10.1109/tce.2024.3352186	paper\10.1109_TCE.2024.3352186.pdf	repo	0.0	GAAD	https://github.com/jinjiewu2000/GAAD
252	LLM-TIKG: Threat intelligence knowledge graph construction utilizing large language model	10.1016/j.cose.2024.103999	paper\10.1016_j.cose.2024.103999.pdf	repo	0.25	LLM-TIKGdataset	https://github.com/Netsec-SJTU/LLM-TIKGdataset
256	Marina : Realizing ML-Driven Real-Time Network Traffic Monitoring at Terabit Scale	10.1109/tnsm.2024.3382393	paper\10.1109_TNSM.2024.3382393.pdf	repo	1.0	Marina	https://github.com/lsinfo3/Marina
263	MSNet: Self-Supervised Multiscale Network With Enhanced Separation Training for Hyperspectral Anomaly Detection	10.1109/tgrs.2024.3411009	paper\10.1109_TGRS.2024.3411009.pdf	repo	1.0	MSNet	https://github.com/enter-i-username/MSNet
265	Multi-Task Scenario Encrypted Traffic Classification and Parameter Analysis	10.3390/s24103078	paper\10.3390_s24103078.pdf	repo	0.0	PETReLM	https://github.com/ssy198/PETReLM
267	Multimodal Brain Tumor Segmentation Boosted by Monomodal Normal Brain Images	10.1109/tip.2024.3359815	paper\10.1109_TIP.2024.3359815.pdf	repo	0.6	Normal-BrainBoost-Tumor-Segmentation	https://github.com/hb-liu/Normal-BrainBoost-Tumor-Segmentation
273	One Model to Find Them All Deep Learning for Multivariate Time-Series Anomaly Detection in Mobile Network Data	10.1109/tnsm.2023.3340146	paper\10.1109_TNSM.2023.3340146.pdf	repo	0.0	DC-VAE	https://github.com/GastonGarciaGonzalez/DC-VAE
273	One Model to Find Them All Deep Learning for Multivariate Time-Series Anomaly Detection in Mobile Network Data	10.1109/tnsm.2023.3340146	paper\10.1109_TNSM.2023.3340146.pdf	repo	0.0	adtk	https://github.com/arundo/adtk
274	One Train for Two Tasks: An Encrypted Traffic Classification Framework Using Supervised Contrastive Learning	10.48550/arXiv.2402.07501	paper\10.48550_arXiv.2402.07501.pdf	repo	0.0	CLE-TFE	https://github.com/ViktorAxelsen/CLE-TFE
278	Pixel-Level Contrastive Pretrainer for Industrial Image Representation	10.1109/tim.2024.3353860	paper\10.1109_TIM.2024.3353860.pdf	repo	0.0	Ind-2M	https://github.com/BingkeZhu/Ind-2M
287	ReFLIP-VAD: Towards Weakly Supervised Video Anomaly Detection via Vision-Language Model	10.1109/tcsvt.2024.3482007	paper\10.1109_TCSVT.2024.3482007.pdf	repo	0.667	ReFLIP-VAD	https://github.com/prasaddev97/ReFLIP-VAD
289	Relation-aware heterogeneous graph neural network for entity alignment	10.1016/j.neucom.2024.127797	paper\10.1016_j.neucom.2024.127797.pdf	repo	0.0	bert	https://github.com/google-research/bert
292	RFG-HELAD: A Robust Fine-Grained Network Traffic Anomaly Detection Model Based on Heterogeneous Ensemble Learning	10.1109/tifs.2024.3402439	paper\10.1109_TIFS.2024.3402439.pdf	repo	1.0	RFG-HELAD	https://github.com/RFG-HELAD/RFG-HELAD
293	RustGraph: Robust Anomaly Detection in Dynamic Graphs by Jointly Learning Structural-Temporal Dependency	10.1109/tkde.2023.3328645	paper\10.1109_tkde.2023.3328645.pdf	repo	1.0	RustGraph	https://github.com/aubreygjh/RustGraph
299	Self-Supervised Learning for Time Series Analysis: Taxonomy, Progress, and Prospects	10.1109/tpami.2024.3387317	paper\10.1109_TPAMI.2024.3387317.pdf	repo	0.0	Awesome-SSL4TS	https://github.com/qingsongedu/Awesome-SSL4TS
300	Self-Supervised Masked Convolutional Transformer Block for Anomaly Detection	10.1109/tpami.2023.3322604	paper\10.1109_TPAMI.2023.3322604.pdf	url	0.0		https://github.com/ristea/
302	Sharing cyber threat intelligence: Does it really help?	10.14722/ndss.2024.24228	paper\10.14722_ndss.2024.24228.pdf	repo	0.0	CTI	https://github.com/SKKU-SecLab/CTI
303	SLA2P: Self-Supervised Anomaly Detection With Adversarial Perturbation	10.1109/tkde.2024.3448473	paper\10.1109_TKDE.2024.3448473.pdf	repo	1.0	SLA2P	https://github.com/wyzjack/SLA2P
314	Toward Video Anomaly Retrieval From Video Anomaly Detection: New Benchmarks and Model	10.1109/tip.2024.3374070	paper\10.1109_TIP.2024.3374070.pdf	repo	0.0	VAR	https://github.com/Roc-Ng/VAR
332	A Cloud Collaborative-Based Intrusion Detection and Prevention System for IVN	10.1109/tccn.2024.3516052	paper\10.1109_TCCN.2024.3516052.pdf	repo	0.0	IVAD	https://github.com/yuecao871441562/IVAD
333	A Comprehensive Benchmark and Empirical Study of Trace Anomaly Detection	10.1109/tsc.2025.3622122	paper\10.1109_TSC.2025.3622122.pdf	repo	0.0	TADBench	https://github.com/nkalgo/TADBench
334	A Data-Driven Approach to Mitigate Evolving Volumetric Attacks in Programmable Networks	10.1109/tmlcn.2025.3594659	paper\10.1109_TMLCN.2025.3594659.pdf	repo	0.0	AdapNet-IDS	https://github.com/em-saqib/AdapNet-IDS
336	A dynamic provenance graph-based detector for advanced persistent threats	10.1016/j.eswa.2024.125877	paper\10.1016_j.eswa.2024.125877.pdf	url	0.0		https://github.com/sbustreamspo
336	A dynamic provenance graph-based detector for advanced persistent threats	10.1016/j.eswa.2024.125877	paper\10.1016_j.eswa.2024.125877.pdf	url	0.0		https://github.com/mar
342	A multi-source log semantic analysis-based attack investigation approach	10.1016/j.cose.2024.104303	paper\10.1016_j.cose.2024.104303.pdf	repo	0.0	snappy	https://github.com/google/snappy
351	A Unified Framework for Hybrid Network Intrusion Detection	10.1109/tnsm.2025.3609854	paper\10.1109_TNSM.2025.3609854.pdf	repo	0.714	A-UnifiedFramework-for-Hybrid-Network-Intrusion-Detection	https://github.com/wangyann2000/A-UnifiedFramework-for-Hybrid-Network-Intrusion-Detection
363	An Unsupervised Malicious Web Request Detection Based on Transformer and Contrastive Learning	10.1109/tnsm.2025.3563089	paper\10.1109_TNSM.2025.3563089.pdf	repo	0.0	School-2023-sample	https://github.com/AIOps-tech/School-2023-sample
375	Bipartite Graph Anomaly Detection With Contrastive Learning	10.1109/tcss.2025.3572961	paper\10.1109_TCSS.2025.3572961.pdf	url	0.0		https://github.com/
377	Bottom Aggregating, Top Separating: An Aggregator and Separator Network for Encrypted Traffic Understanding	10.1109/tifs.2025.3529316	paper\10.1109_TIFS.2025.3529316.pdf	url	0.0		https://github.com/pengwei-iie/
378	BTGPT: Generative Pretrained Transformer for Benign Network Traffic	10.1109/isaeece66033.2025.11159936	paper\10.1109_isaeece66033.2025.11159936.pdf	repo	0.0	USTC-TFC2016	https://github.com/yungshenglu/USTC-TFC2016
387	Contrastive Multi-Knowledge Graph Learning for Fake News Detection	10.1109/tnse.2025.3567296	paper\10.1109_TNSE.2025.3567296.pdf	repo	0.0	Congrat	https://github.com/KG4FD/Congrat
391	D 3 Former: Dual-Decoder Dual-Transformer Reconstruction Network for Hyperspectral Anomaly Detection	10.1109/tgrs.2025.3614482	paper\10.1109_TGRS.2025.3614482.pdf	repo	0.0	TGRS-D3Former	https://github.com/YKYANG01/TGRS-D3Former
392	DACAD: Domain Adaptation Contrastive Learning for Anomaly Detection in Multivariate Time Series	10.1109/tkde.2025.3569909	paper\10.1109_TKDE.2025.3569909.pdf	repo	1.0	DACAD	https://github.com/zamanzadeh/DACAD
394	Deep Graph Anomaly Detection: A Survey and New Perspectives	10.1109/tkde.2025.3581578	paper\10.1109_TKDE.2025.3581578.pdf	url	0.0		https://github.com/
396	DeepDRAC: Disposition Recommendation for Alert Clusters Based on Security Event Patterns	10.1109/tifs.2025.3580337	paper\10.1109_TIFS.2025.3580337.pdf	repo	0.0	DEEPDRACAppendix	https://github.com/Gaofei-Ruan/DEEPDRACAppendix
398	Detecting Smart Home Device Activities Using Packet-Level Signatures From Encrypted Traffic	10.1109/tdsc.2024.3424299	paper\10.1109_TDSC.2024.3424299.pdf	repo	0.167	Packet-based-IoT-Event-Detection	https://github.com/MdShamim097/Packet-based-IoT-Event-Detection
400	Detection of Unknown Attacks Through Encrypted Traffic: A Gaussian Prototype-Aided Variational Autoencoder Framework	10.1109/tifs.2025.3612141	paper\10.1109_TIFS.2025.3612141.pdf	repo	0.0	Open-Detect	https://github.com/niebikong/Open-Detect
402	Disentangled Dynamic Intrusion Detection	10.1109/tpami.2025.3595671	paper\10.1109_TPAMI.2025.3595671.pdf	repo	0.0	DIDS-MFL	https://github.com/qcydm/DIDS-MFL
407	Dual Temporal Masked Modeling for KPI Anomaly Detection via Similarity Aggregation	10.1109/tnsm.2024.3486167	paper\10.1109_TNSM.2024.3486167.pdf	repo	0.0	GT-DMASA	https://github.com/colaudiolab/GT-DMASA
416	End-to-End Attack Scene Reconstruction in a Host With Rules and Anomaly-Based Detection Models	10.1109/tifs.2025.3588251	paper\10.1109_TIFS.2025.3588251.pdf	repo	0.0	eaGle	https://github.com/winsen-alpha/eaGle
420	Ensuring Zero Trust IoT Data Privacy: Differential Privacy in Blockchain Using Federated Learning	10.1109/tce.2024.3444824	paper\10.1109_TCE.2024.3444824.pdf	repo	0.5	DP_Blockchain	https://github.com/tariqaup/DP_Blockchain
421	ERFS: Efficient Feature Graph Representation for Intrusion Detection Based on Flow Semantic Association	10.1109/tccn.2025.3543357	paper\10.1109_TCCN.2025.3543357.pdf	repo	1.0	ERFS	https://github.com/sixteen23333/ERFS
427	FC2P: Feature Cross-Channel Projection for Unsupervised Anomaly Segmentation	10.1109/tim.2025.3608319	paper\10.1109_TIM.2025.3608319.pdf	repo	0.0	work-2	https://github.com/Karma1628/work-2
441	Few-Shot Anomaly Detection via Category-Agnostic Registration Learning	10.1109/tnnls.2024.3465446	paper\10.1109_TNNLS.2024.3465446.pdf	repo	0.0	CAReg	https://github.com/Haoyan-Guan/CAReg
445	Flow Microelement-Driven Traffic Relationship Analysis: Robust Detection of Malicious Encrypted Traffic	10.1109/tifs.2025.3613971	paper\10.1109_TIFS.2025.3613971.pdf	repo	0.0	BSTS-Net	https://github.com/gswsfh/BSTS-Net
447	Frequency-Domain Spectrum Discrepancy-Based Fast Anomaly Detection for IIoT Sensor Time-Series Signals	10.1109/tim.2025.3554286	paper\10.1109_TIM.2025.3554286.pdf	repo	0.0	FADSD	https://github.com/infogroup502/FADSD
456	GT-HAD: Gated Transformer for Hyperspectral Anomaly Detection	10.1109/tnnls.2024.3355166	paper\10.1109_TNNLS.2024.3355166.pdf	url	0.0		https://github.com/jeline0110/
465	IAD-GPT: Advancing Visual Knowledge in Multimodal Large Language Model for Industrial Anomaly Detection	10.1109/tim.2025.3635334	paper\10.1109_TIM.2025.3635334.pdf	repo	0.0	IADGPT	https://github.com/LiZeWen1225/IADGPT
477	Lightweight and Fast Time-Series Anomaly Detection via Point-Level and Sequence-Level Reconstruction Discrepancy	10.1109/tnnls.2025.3565807	paper\10.1109_TNNLS.2025.3565807.pdf	repo	0.0	LFTSAD	https://github.com/infogroup502/LFTSAD
480	LScAD: A Large–Small Model Collaboration Framework for Unsupervised Industrial Anomaly Detection	10.1109/tim.2025.3588927	paper\10.1109_TIM.2025.3588927.pdf	repo	1.0	LScAD	https://github.com/qsc1103/LScAD
487	MIETT: Multi-Instance Encrypted Traffic Transformer for Encrypted Traffic Classification	10.1609/aaai.v39i15.33748	paper\10.1609_aaai.v39i15.33748.pdf	repo	1.0	MIETT	https://github.com/SeciliaCxy/MIETT
489	Mining Multi-Scale Spatial-Frequency Clues for Unsupervised Intrusion Detection	10.1109/tifs.2025.3620090	paper\10.1109_TIFS.2025.3620090.pdf	repo	0.0	MSF-IDS	https://github.com/qcydm/MSF-IDS
498	Multiscale Transformers With Contrastive Learning for UAV Anomaly Detection	10.1109/tim.2025.3571126	paper\10.1109_TIM.2025.3571126.pdf	url	0.0		https://github.com/SteelHu/
499	Multitask Hybrid Knowledge Distillation for Unsupervised Anomaly Detection	10.1109/tii.2025.3556083	paper\10.1109_TII.2025.3556083.pdf	url	0.0		https://github.com/Xmh-L/
502	Normalizing-Flow-Based Anomaly Scoring for Intelligent Network Intrusion Detection	10.1109/qpain66474.2025.11171745	paper\10.1109_qpain66474.2025.11171745.pdf	repo	0.0	trinity-packet	https://github.com/SRI-CSL/trinity-packet
505	Overcoming the Identity Mapping Problem in Self-Supervised Hyperspectral Anomaly Detection	10.1109/tgrs.2025.3632330	paper\10.1109_TGRS.2025.3632330.pdf	repo	0.0	Super-AD	https://github.com/yc-cui/Super-AD
509	Privacy-Preserving Lightweight Time-Series Anomaly Detection for Resource-Limited Industrial IoT Edge Devices	10.1109/tii.2025.3538127	paper\10.1109_TII.2025.3538127.pdf	repo	0.0	PPLAD	https://github.com/infogroup502/PPLAD
519	Resource-Efficient Low-Rate DDoS Mitigation With Moving Target Defense in Edge Clouds	10.1109/tnsm.2024.3413685	paper\10.1109_TNSM.2024.3413685.pdf	repo	0.0	slowhttptest	https://github.com/shekyan/slowhttptest
522	Revolutionizing Encrypted Traffic Classification with MH-Net: A Multi-View Heterogeneous Graph Model	10.1609/aaai.v39i1.32091	paper\10.1609_aaai.v39i1.32091.pdf	repo	0.5	MH-Net	https://github.com/ViktorAxelsen/MH-Net
527	Robustness Matters: Pre-Training Can Enhance the Performance of Encrypted Traffic Analysis	10.1109/tifs.2025.3613970	paper\10.1109_TIFS.2025.3613970.pdf	repo	0.0	BERT-ps	https://github.com/Shangshu-LAB/BERT-ps
535	Securing Federated Learning Against Extreme Model Poisoning Attacks via Multidimensional Time Series Anomaly Detection on Local Updates	10.1109/tifs.2025.3608671	paper\10.1109_TIFS.2025.3608671.pdf	repo	0.0	flower	https://github.com/adap/flower
537	Self-Calibrated CLIP for Training-Free Open-Vocabulary Segmentation	10.1109/tip.2025.3639996	paper\10.1109_TIP.2025.3639996.pdf	repo	0.0	SCCLIP	https://github.com/SuleBai/SCCLIP
538	Self-Supervised Adaptation Method to Concept Drift for Network Intrusion Detection	10.1109/tdsc.2025.3599321	paper\10.1109_TDSC.2025.3599321.pdf	repo	0.0	ReCDA	https://github.com/kalendsyang/ReCDA
540	Self-Supervised Anomaly Detection With Neural Transformations	10.1109/tpami.2024.3519543	paper\10.1109_TPAMI.2024.3519543.pdf	repo	0.0	NeuTraL-AD	https://github.com/boschresearch/NeuTraL-AD
547	SnifferDog: Comprehensively Learning Heterogeneous Features of Network Traffic to Identify Malicious Flows	10.1109/tifs.2025.3620640	paper\10.1109_TIFS.2025.3620640.pdf	repo	1.0	SnifferDog	https://github.com/ciat-gzhu/SnifferDog
548	Solving Data Contamination in DDoS Detection: A Method Based on Hierarchical Federated Learning	10.1109/tifs.2025.3587185	paper\10.1109_TIFS.2025.3587185.pdf	url	0.0		https://github.com/realllriven/
557	TeRed: Normal Behavior-Based Efficient Provenance Graph Reduction for Large-Scale Attack Forensics	10.1109/tifs.2025.3601381	paper\10.1109_TIFS.2025.3601381.pdf	repo	1.0	TeRed	https://github.com/THSS-GAD/TeRed
559	The Sweet Danger of Sugar: Debunking Representation Learning for Encrypted Traffic Classification	10.1145/3718958.3750498	paper\10.1145_3718958.3750498.pdf	repo	0.4	Debunk_Traffic_Representation	https://github.com/SmartData-Polito/Debunk_Traffic_Representation
560	TIMFuser: A multi-granular fusion framework for cyber threat intelligence	10.1016/j.cose.2024.104141	paper\10.1016_j.cose.2024.104141.pdf	repo	0.0	Fenrir	https://github.com/Neo23x0/Fenrir
560	TIMFuser: A multi-granular fusion framework for cyber threat intelligence	10.1016/j.cose.2024.104141	paper\10.1016_j.cose.2024.104141.pdf	repo	0.0	pdfplumber	https://github.com/jsvine/pdfplumber
560	TIMFuser: A multi-granular fusion framework for cyber threat intelligence	10.1016/j.cose.2024.104141	paper\10.1016_j.cose.2024.104141.pdf	repo	0.0	html2text	https://github.com/aaronsw/html2text
560	TIMFuser: A multi-granular fusion framework for cyber threat intelligence	10.1016/j.cose.2024.104141	paper\10.1016_j.cose.2024.104141.pdf	url	0.0		https://github.com/nltk
560	TIMFuser: A multi-granular fusion framework for cyber threat intelligence	10.1016/j.cose.2024.104141	paper\10.1016_j.cose.2024.104141.pdf	repo	0.0	neuralcoref	https://github.com/huggingface/neuralcoref
566	TrafficFormer: An Efficient Pre-trained Model for Traffic Data	10.1109/sp61157.2025.00102	paper\10.1109_sp61157.2025.00102.pdf	repo	1.0	TrafficFormer	https://github.com/IDP-code/TrafficFormer
567	TrafficLLM: Enhancing Large Language Models for Network Traffic Analysis with Generic Traffic Representation	10.48550/arXiv.2504.04222	paper\10.48550_arXiv.2504.04222.pdf	repo	1.0	TrafficLLM	https://github.com/ZGC-LLM-Safety/TrafficLLM
568	Training Robust Classifiers for Classifying Encrypted Traffic under Dynamic Network Conditions	10.1145/3719027.3765073	paper\10.1145_3719027.3765073.pdf	repo	0.25	MAML-Training-ETC	https://github.com/XXnormal/MAML-Training-ETC
572	VarAD: Lightweight High-Resolution Image Anomaly Detection via Visual Autoregressive Modeling	10.1109/tii.2024.3523574	paper\10.1109_TII.2024.3523574.pdf	repo	1.0	VarAD	https://github.com/caoyunkang/VarAD
572	VarAD: Lightweight High-Resolution Image Anomaly Detection via Visual Autoregressive Modeling	10.1109/tii.2024.3523574	paper\10.1109_TII.2024.3523574.pdf	repo	0.0	dinov2	https://github.com/facebookresearch/dinov2
574	VPN-Encrypted Network Traffic Classification Using a Time-Series Approach	10.1109/tnsm.2025.3543903	paper\10.1109_TNSM.2025.3543903.pdf	url	0.0		https://zenodo.org/records/13301379
577	XIPHOS: Adaptive In-Vehicle Intrusion Detection via Unsupervised Graph Contrastive Learning	10.1109/tifs.2025.3616624	paper\10.1109_TIFS.2025.3616624.pdf	repo	1.0	XIPHOS	https://github.com/wangkai-tech23/XIPHOS
584	A Hard-Label Black-Box Evasion Attack against ML-based Malicious Traffic Detection Systems	10.14722/ndss.2026.230916	paper\10.14722_ndss.2026.230916.pdf	repo	0.0	NetMasquerade	https://github.com/09nat/NetMasquerade
585	A Joint Masked Spectral Group Framework for Hyperspectral Representation Learning	10.1109/tgrs.2026.3674733	paper\10.1109_TGRS.2026.3674733.pdf	repo	0.0	MSG	https://github.com/Viento1027/MSG
586	A Novel Contrastive Loss for Zero-Day Network Intrusion Detection	10.1109/tnsm.2026.3652529	paper\10.1109_TNSM.2026.3652529.pdf	repo	0.0	CLOSR	https://github.com/jackwilkie/CLOSR
589	A Real-Time Channel-Level Intrusion Detection System Based on Multimodal Learning	10.1109/jiot.2026.3651905	paper\10.1109_JIOT.2026.3651905.pdf	url	0.0		https://github.com/Akap-vv/
594	Adapting Large Language Models for Encrypted Traffic Analysis Services: An Efficient Realization With Mixture of LoRA Experts	10.1109/tsc.2026.3671484	paper\10.1109_TSC.2026.3671484.pdf	repo	0.0	TrafficLLM	https://github.com/yiliucs/TrafficLLM
596	Adaptive Graph Filtering Neural Network for Graph Anomaly Detection	10.1109/tnse.2025.3629084	paper\10.1109_TNSE.2025.3629084.pdf	repo	0.0	AGFNN	https://github.com/TFboys-lzz/AGFNN
601	Advancing Pre-Trained Teacher: Towards Robust Feature Discrepancy for Anomaly Detection	10.1109/tip.2026.3683277	paper\10.1109_TIP.2026.3683277.pdf	repo	0.0	AAND	https://github.com/Hui-design/AAND
610	Ano2Rule: Rule-Based Global Interpretation for Unsupervised Anomaly Detection in Security	10.1109/tdsc.2026.3667688	paper\10.1109_TDSC.2026.3667688.pdf	repo	0.0	UADRule-Extraction	https://github.com/Ruoyu-Li/UADRule-Extraction
613	AUCp: Pseudo-AUC for Inference Model Selection with Unlabeled Validation Data in Abnormality Detection	10.1109/tmi.2026.3684946	paper\10.1109_TMI.2026.3684946.pdf	repo	1.0	AUCp	https://github.com/mahfuzmohammad/AUCp
